Description,Category
Breakfast at roadside stall,food
Office canteen lunch,food
Home cooked dinner groceries,food
Evening samosa snack,food
Cold coffee at cafe,food
Fresh fruit basket,food
Weekly vegetable market,food
Milk packet purchase,food
Bakery bread and buns,food
Chocolate ice cream,food
Protein bar,food
Family restaurant buffet,food
Online biryani order,food
Packed tiffin service,food
Orange juice cup,food
Sweet laddu box,food
Cashew nut packet,food
Midnight maggi,food
Domino's pizza order,food
Green salad bowl,food
Paneer curry ingredients,food
Fresh coconut water,food
South Indian dosa breakfast,food
Chinese noodles plate,food
Burger combo meal,food
Mango milkshake,food
Curd and buttermilk,food
Street corn cup,food
Chocolate pastry,food
Dry cake rusk,food
Boiled egg snacks,food
Chicken roll,food
Fish fry takeaway,food
Rice and dal groceries,food
Masala tea stall,food
Cold drink bottle,food
Energy drink can,food
Fresh bread loaf,food
Organic honey jar,food
Peanut chikki,food
Sprouts mix bowl,food
Idli sambar plate,food
Poha breakfast,food
Upma packet,food
Fruit juice tetra pack,food
Protein powder refill,food
Curd rice lunch,food
Veg thali order,food
Non veg thali,food
Butter milk pouch,food
Pomegranate juice,food
Evening pakoda,food
Sandwich meal,food
Cheese block purchase,food
Frozen momos,food
Ice gola treat,food
Festival sweets pack,food
City bus pass,transport
Intercity train fare,transport
Metro recharge card,transport
Auto ride payment,transport
Ola cab ride,transport
Two wheeler petrol,transport
Car diesel refill,transport
Expressway toll booth,transport
Shopping mall parking,transport
Bike periodic service,transport
Foam car wash,transport
Tube puncture fix,transport
Engine oil service,transport
Riding gloves purchase,transport
Scooter seat cover,transport
Monthly travel card,transport
Highway fuel stop,transport
Vehicle pollution check,transport
EV charging payment,transport
Scooter brake repair,transport
Car alignment service,transport
Air pressure refill,transport
Windshield washer fluid,transport
Coolant top up,transport
Motorcycle chain lube,transport
Car battery jumpstart,transport
Bike clutch repair,transport
Cab waiting charges,transport
Fuel additive bottle,transport
Truck parking fee,transport
Bus stand entry,transport
Cycle repair,transport
Taxi airport drop,transport
Bike tyre change,transport
Car dent repair,transport
Scooter bulb replacement,transport
Insurance inspection fee,transport
Bike wash polish,transport
Car service labor,transport
Long drive fuel expense,transport
Public transport fine,transport
Metro locker charges,transport
Valet parking tip,transport
Car steering repair,transport
Two wheeler insurance renewal,transport
Helmet visor replacement,transport
Scooter mirror purchase,transport
Bike towing charges,transport
Car interior cleaning,transport
Bike seat repair,transport
Fuel can purchase,transport
Transport permit fee,transport
Rental bike charges,transport
Scooter stand replacement,transport
Car AC service,transport
Wheel balancing,transport
Electricity unit bill,bills
Water tanker charges,bills
Prepaid mobile topup,bills
Fiber internet plan,bills
Cooking gas cylinder,bills
Broadband modem rent,bills
Monthly house rent,bills
Apartment sinking fund,bills
Cable TV recharge,bills
Online storage subscription,bills
Term insurance payment,bills
Outstanding credit card dues,bills
Vehicle loan EMI,bills
Daily newspaper bill,bills
Podcast premium plan,bills
Antivirus software license,bills
Website domain renewal,bills
Security guard salary share,bills
Municipal waste tax,bills
RO filter maintenance,bills
Solar panel cleaning,bills
Mobile postpaid invoice,bills
DTH annual pack,bills
Home painting installment,bills
Electric meter repair,bills
Internet installation fee,bills
Property tax installment,bills
Lift maintenance share,bills
Electric appliance warranty,bills
Online meeting software,bills
Smart home service bill,bills
Water purifier filter,bills
Electric kettle repair,bills
Phone insurance plan,bills
TV repair bill,bills
Generator diesel bill,bills
Common area lighting bill,bills
Society festival fund,bills
House wiring repair,bills
Gas pipeline inspection,bills
Fire safety renewal,bills
Parking maintenance,bills
Internet speed upgrade,bills
Cooling system service,bills
Air conditioner service,bills
Electric fan repair,bills
Smartwatch connectivity plan,bills
Home security app,bills
Digital newspaper plan,bills
Electric stove repair,bills
Router replacement fee,bills
Electric inspection,bills
Common water motor bill,bills
House pest control,bills
Monthly sanitation bill,bills
WiFi mesh system,bills
University admission fee,education
Competitive exam form,education
AI certification course,education
Communication skills training,education
Reading room membership,education
Engineering reference book,education
College stationery kit,education
Scientific calculator,education
Language learning app,education
Aptitude test pack,education
Industry workshop,education
Management seminar,education
Prototype development material,education
Chemistry lab charges,education
